year,make,model,trim,body,market,engine_oil_qty,engine_oil_unit,engine_coolant_qty,engine_coolant_unit,brake_fluid_qty,brake_fluid_unit,washer_fluid_qty,washer_fluid_unit,power_steering_fluid_qty,power_steering_fluid_unit,clutch_hydraulic_fluid_qty,clutch_hydraulic_fluid_unit,manual_trans_fluid_qty,manual_trans_fluid_unit,automatic_trans_fluid_qty,automatic_trans_fluid_unit,cvt_fluid_qty,cvt_fluid_unit,front_diff_fluid_qty,front_diff_fluid_unit,rear_diff_fluid_qty,rear_diff_fluid_unit,center_diff_or_transfer_fluid_qty,center_diff_or_transfer_fluid_unit,ac_refrigerant_qty,ac_refrigerant_unit,ac_compressor_oil_qty,ac_compressor_oil_unit,notes,source_1,source_2,confidence
2013,Subaru,BRZ,Premium (US),,USDM,w/ filter: 5.4 qt / 5.1 L,0W-20 Synthetic (API SN),MT: 7.2 qt / 6.8 L | AT: 7.5 qt / 7.1 L,Subaru Super Coolant (blue),,DOT 3 | DOT 4,,,,,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.7 qt / 3.5 L,Subaru Extra-S 75W-90,,,drain & fill: 4.0 qt / 3.8 L | total: 12.8 qt / 12.1 L,Subaru CVT Fluid Lineartronic II,,,capacity: 0.9 qt / 0.85 L,Subaru Gear Oil 75W-90,,,,R-134a,,,front diff shared; EPS (no PS fluid); washer: fill to max,Subaru WRX/BRZ FSM,AMSOIL,high
2013,Subaru,BRZ,R (JDM),,JDM,w/ filter: 5.4 qt / 5.1 L,0W-20 Synthetic (API SN),MT: 7.2 qt / 6.8 L | AT: 7.5 qt / 7.1 L,Subaru Super Coolant (blue),,DOT 3 | DOT 4,,,,,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.7 qt / 3.5 L,Subaru Extra-S 75W-90,,,drain & fill: 4.0 qt / 3.8 L | total: 12.8 qt / 12.1 L,Subaru CVT Fluid Lineartronic II,,,capacity: 0.9 qt / 0.85 L,Subaru Gear Oil 75W-90,,,,R-134a,,,front diff shared; EPS (no PS fluid); washer: fill to max,Subaru WRX/BRZ FSM,AMSOIL,high
2013,Subaru,BRZ,S (JDM),,JDM,w/ filter: 5.4 qt / 5.1 L,0W-20 Synthetic (API SN),MT: 7.2 qt / 6.8 L | AT: 7.5 qt / 7.1 L,Subaru Super Coolant (blue),,DOT 3 | DOT 4,,,,,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.7 qt / 3.5 L,Subaru Extra-S 75W-90,,,drain & fill: 4.0 qt / 3.8 L | total: 12.8 qt / 12.1 L,Subaru CVT Fluid Lineartronic II,,,capacity: 0.9 qt / 0.85 L,Subaru Gear Oil 75W-90,,,,R-134a,,,front diff shared; EPS (no PS fluid); washer: fill to max,Subaru WRX/BRZ FSM,AMSOIL,high
2013,Subaru,Crosstrek,Base (US),,USDM,w/ filter: 4.6 qt / 4.4 L,0W-20 Synthetic (API SN/SP),capacity: 8.2 qt / 7.8 L,Subaru Super Coolant (blue),,DOT 3 | DOT 4,,,,,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.7 qt / 3.5 L,Subaru Extra-S 75W-90,,,drain & fill: 4.0 qt / 3.8 L | total: 12.0 qt / 11.4 L,Subaru CVT Fluid Lineartronic,,,capacity: 0.8 qt / 0.76 L,Subaru Gear Oil 75W-90,,,,R-134a | R-1234yf,,,front diff shared; EPS (no PS fluid); washer: fill to max,Subaru Impreza/Crosstrek FSM,AMSOIL,high
2013,Subaru,Exiga,2.0GT (JDM),,JDM,w/ filter: 4.5 qt / 4.3 L,5W-30 (API SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3 | DOT 4,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,,,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,JDM Subaru FSM,AMSOIL,medium
2013,Subaru,Exiga,2.0i (JDM),,JDM,w/ filter: 4.5 qt / 4.3 L,5W-30 (API SL),capacity: 6.5 qt / 6.2 L,Subaru coolant 50/50,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 3 | DOT 4,capacity: 3.7 qt / 3.5 L,75W-90 GL-5,,,,,,,capacity: 0.8 qt / 0.76 L,75W-90 GL-5,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,JDM Subaru FSM,AMSOIL,medium
2013,Subaru,Exiga,2.5i (JDM),,JDM,w/ filter: 4.4 qt / 4.2 L,5W-30 (API SM/SN),capacity: 6.8 qt / 6.4 L,Subaru Super Coolant,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.7 qt / 3.5 L,Subaru Extra-S 75W-90,,,drain & fill: 4.0 qt / 3.8 L | total: 12.0 qt / 11.4 L,Subaru CVT Fluid,,,capacity: 0.8 qt / 0.76 L,Subaru Gear Oil 75W-90,,,,R-134a,,,front diff shared with manual trans; washer: fill to max,Subaru Owner Manual,AMSOIL,medium
2013,Subaru,Exiga,Crossover 7 (JDM),,JDM,w/ filter: 4.4 qt / 4.2 L,0W-20 Synthetic (API SN/SP),capacity: 7.4 qt / 7.0 L,Subaru Super Coolant (blue),,DOT 3 | DOT 4,,,,,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.7 qt / 3.5 L,Subaru Extra-S 75W-90,,,drain & fill: 4.0 qt / 3.8 L | total: 12.0 qt / 11.4 L,Subaru CVT Fluid Lineartronic,,,capacity: 0.8 qt / 0.76 L,Subaru Gear Oil 75W-90,,,,R-134a | R-1234yf,,,front diff shared; EPS (no PS fluid); washer: fill to max,Subaru Forester/Outback FSM,AMSOIL,high
2013,Subaru,Forester,2.0XT (JDM),,JDM,w/ filter: 5.4 qt / 5.1 L,0W-20 Synthetic (API SN),MT: 7.2 qt / 6.8 L | AT: 7.5 qt / 7.1 L,Subaru Super Coolant (blue),,DOT 3 | DOT 4,,,,,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.7 qt / 3.5 L,Subaru Extra-S 75W-90,,,drain & fill: 4.0 qt / 3.8 L | total: 12.8 qt / 12.1 L,Subaru CVT Fluid Lineartronic II,,,capacity: 0.9 qt / 0.85 L,Subaru Gear Oil 75W-90,,,,R-134a,,,front diff shared; EPS (no PS fluid); washer: fill to max,Subaru WRX/BRZ FSM,AMSOIL,high
2013,Subaru,Forester,2.0i (JDM),,JDM,w/ filter: 4.6 qt / 4.4 L,0W-20 Synthetic (API SN/SP),capacity: 8.2 qt / 7.8 L,Subaru Super Coolant (blue),,DOT 3 | DOT 4,,,,,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.7 qt / 3.5 L,Subaru Extra-S 75W-90,,,drain & fill: 4.0 qt / 3.8 L | total: 12.0 qt / 11.4 L,Subaru CVT Fluid Lineartronic,,,capacity: 0.8 qt / 0.76 L,Subaru Gear Oil 75W-90,,,,R-134a | R-1234yf,,,front diff shared; EPS (no PS fluid); washer: fill to max,Subaru Impreza/Crosstrek FSM,AMSOIL,high
2013,Subaru,Forester,2.0i-L (JDM),,JDM,w/ filter: 4.6 qt / 4.4 L,0W-20 Synthetic (API SN/SP),capacity: 8.2 qt / 7.8 L,Subaru Super Coolant (blue),,DOT 3 | DOT 4,,,,,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.7 qt / 3.5 L,Subaru Extra-S 75W-90,,,drain & fill: 4.0 qt / 3.8 L | total: 12.0 qt / 11.4 L,Subaru CVT Fluid Lineartronic,,,capacity: 0.8 qt / 0.76 L,Subaru Gear Oil 75W-90,,,,R-134a | R-1234yf,,,front diff shared; EPS (no PS fluid); washer: fill to max,Subaru Impreza/Crosstrek FSM,AMSOIL,high
2013,Subaru,Forester,XT Touring (US),,USDM,w/ filter: 4.5 qt / 4.3 L,5W-30 Synthetic (API SM/SN),capacity: 7.4 qt / 7.0 L,Subaru Super Coolant,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.8 qt / 3.6 L,Subaru Extra-S 75W-90,initial fill: 3.5 qt / 3.3 L | total: 9.8 qt / 9.3 L,Subaru ATF-HP,,,,,capacity: 0.9 qt / 0.85 L,Subaru Gear Oil 75W-90,,,,R-134a,,,5MT; front diff shared; washer: fill to max,Subaru WRX/Legacy FSM,AMSOIL,high
2013,Subaru,Forester,tS STI (JDM),,JDM,w/ filter: 5.4 qt / 5.1 L,0W-20 Synthetic (API SN),MT: 7.2 qt / 6.8 L | AT: 7.5 qt / 7.1 L,Subaru Super Coolant (blue),,DOT 3 | DOT 4,,,,,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.7 qt / 3.5 L,Subaru Extra-S 75W-90,,,,,,,capacity: 0.9 qt / 0.85 L,Subaru Gear Oil 75W-90,,,,R-134a,,,front diff shared; EPS (no PS fluid); washer: fill to max,Subaru WRX/BRZ FSM,AMSOIL,high
2013,Subaru,Impreza,2.0i (US),,USDM,w/ filter: 4.6 qt / 4.4 L,0W-20 Synthetic (API SN/SP),capacity: 8.2 qt / 7.8 L,Subaru Super Coolant (blue),,DOT 3 | DOT 4,,,,,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.7 qt / 3.5 L,Subaru Extra-S 75W-90,,,drain & fill: 4.0 qt / 3.8 L | total: 12.0 qt / 11.4 L,Subaru CVT Fluid Lineartronic,,,capacity: 0.8 qt / 0.76 L,Subaru Gear Oil 75W-90,,,,R-134a | R-1234yf,,,front diff shared; EPS (no PS fluid); washer: fill to max,Subaru Impreza/Crosstrek FSM,AMSOIL,high
2013,Subaru,Impreza,2.0i Limited (US),,USDM,w/ filter: 4.6 qt / 4.4 L,0W-20 Synthetic (API SN/SP),capacity: 8.2 qt / 7.8 L,Subaru Super Coolant (blue),,DOT 3 | DOT 4,,,,,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.7 qt / 3.5 L,Subaru Extra-S 75W-90,,,drain & fill: 4.0 qt / 3.8 L | total: 12.0 qt / 11.4 L,Subaru CVT Fluid Lineartronic,,,capacity: 0.8 qt / 0.76 L,Subaru Gear Oil 75W-90,,,,R-134a | R-1234yf,,,front diff shared; EPS (no PS fluid); washer: fill to max,Subaru Impreza/Crosstrek FSM,AMSOIL,high
2013,Subaru,Impreza,2.0i Premium (US),,USDM,w/ filter: 4.6 qt / 4.4 L,0W-20 Synthetic (API SN/SP),capacity: 8.2 qt / 7.8 L,Subaru Super Coolant (blue),,DOT 3 | DOT 4,,,,,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.7 qt / 3.5 L,Subaru Extra-S 75W-90,,,drain & fill: 4.0 qt / 3.8 L | total: 12.0 qt / 11.4 L,Subaru CVT Fluid Lineartronic,,,capacity: 0.8 qt / 0.76 L,Subaru Gear Oil 75W-90,,,,R-134a | R-1234yf,,,front diff shared; EPS (no PS fluid); washer: fill to max,Subaru Impreza/Crosstrek FSM,AMSOIL,high
2013,Subaru,Impreza,2.0i Sport Limited (US),,USDM,w/ filter: 4.6 qt / 4.4 L,0W-20 Synthetic (API SN/SP),capacity: 8.2 qt / 7.8 L,Subaru Super Coolant (blue),,DOT 3 | DOT 4,,,,,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.7 qt / 3.5 L,Subaru Extra-S 75W-90,,,drain & fill: 4.0 qt / 3.8 L | total: 12.0 qt / 11.4 L,Subaru CVT Fluid Lineartronic,,,capacity: 0.8 qt / 0.76 L,Subaru Gear Oil 75W-90,,,,R-134a | R-1234yf,,,front diff shared; EPS (no PS fluid); washer: fill to max,Subaru Impreza/Crosstrek FSM,AMSOIL,high
2013,Subaru,Impreza,2.0i Sport Premium (US),,USDM,w/ filter: 4.6 qt / 4.4 L,0W-20 Synthetic (API SN/SP),capacity: 8.2 qt / 7.8 L,Subaru Super Coolant (blue),,DOT 3 | DOT 4,,,,,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.7 qt / 3.5 L,Subaru Extra-S 75W-90,,,drain & fill: 4.0 qt / 3.8 L | total: 12.0 qt / 11.4 L,Subaru CVT Fluid Lineartronic,,,capacity: 0.8 qt / 0.76 L,Subaru Gear Oil 75W-90,,,,R-134a | R-1234yf,,,front diff shared; EPS (no PS fluid); washer: fill to max,Subaru Impreza/Crosstrek FSM,AMSOIL,high
2013,Subaru,Impreza,G4 1.6i (JDM),,JDM,w/ filter: 4.2 qt / 4.0 L,0W-20 Synthetic (API SN),capacity: 6.8 qt / 6.4 L,Subaru Super Coolant (blue),,DOT 3 | DOT 4,,,,,,,,,,,drain & fill: 4.0 qt / 3.8 L | total: 12.0 qt / 11.4 L,Subaru CVT Fluid Lineartronic,,,capacity: 0.8 qt / 0.76 L,Subaru Gear Oil 75W-90,,,,R-134a,,,washer: fill to max,Subaru XV FSM,AMSOIL,high
2013,Subaru,Impreza,G4 2.0i (JDM),,JDM,w/ filter: 4.6 qt / 4.4 L,0W-20 Synthetic (API SN/SP),capacity: 8.2 qt / 7.8 L,Subaru Super Coolant (blue),,DOT 3 | DOT 4,,,,,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.7 qt / 3.5 L,Subaru Extra-S 75W-90,,,drain & fill: 4.0 qt / 3.8 L | total: 12.0 qt / 11.4 L,Subaru CVT Fluid Lineartronic,,,capacity: 0.8 qt / 0.76 L,Subaru Gear Oil 75W-90,,,,R-134a | R-1234yf,,,front diff shared; EPS (no PS fluid); washer: fill to max,Subaru Impreza/Crosstrek FSM,AMSOIL,high
2013,Subaru,Impreza,Sport 1.6i (JDM),,JDM,w/ filter: 4.2 qt / 4.0 L,0W-20 Synthetic (API SN),capacity: 6.8 qt / 6.4 L,Subaru Super Coolant (blue),,DOT 3 | DOT 4,,,,,,,,,,,drain & fill: 4.0 qt / 3.8 L | total: 12.0 qt / 11.4 L,Subaru CVT Fluid Lineartronic,,,capacity: 0.8 qt / 0.76 L,Subaru Gear Oil 75W-90,,,,R-134a,,,washer: fill to max,Subaru XV FSM,AMSOIL,high
2013,Subaru,Impreza,Sport 2.0i (JDM),,JDM,w/ filter: 4.6 qt / 4.4 L,0W-20 Synthetic (API SN/SP),capacity: 8.2 qt / 7.8 L,Subaru Super Coolant (blue),,DOT 3 | DOT 4,,,,,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.7 qt / 3.5 L,Subaru Extra-S 75W-90,,,drain & fill: 4.0 qt / 3.8 L | total: 12.0 qt / 11.4 L,Subaru CVT Fluid Lineartronic,,,capacity: 0.8 qt / 0.76 L,Subaru Gear Oil 75W-90,,,,R-134a | R-1234yf,,,front diff shared; EPS (no PS fluid); washer: fill to max,Subaru Impreza/Crosstrek FSM,AMSOIL,high
2013,Subaru,Impreza,WRX (JDM),,JDM,w/ filter: 4.5 qt / 4.3 L,5W-30 Synthetic,capacity: 7.0 qt / 6.6 L,Subaru Super Coolant,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,Subaru PS Fluid,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 4.1 qt / 3.9 L,75W-90 GL-5,,,,,,,capacity: 1.1 qt / 1.0 L,75W-90 GL-5,,,,R-134a,,,6MT; front diff shared; washer: fill to max,JDM STI FSM,iwsti.com,medium
2013,Subaru,Impreza,WRX (US),,USDM,w/ filter: 4.5 qt / 4.3 L,5W-30 Synthetic (API SM/SN),capacity: 7.4 qt / 7.0 L,Subaru Super Coolant,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.8 qt / 3.6 L,Subaru Extra-S 75W-90,initial fill: 3.5 qt / 3.3 L | total: 9.8 qt / 9.3 L,Subaru ATF-HP,,,,,capacity: 0.9 qt / 0.85 L,Subaru Gear Oil 75W-90,,,,R-134a,,,5MT; front diff shared; washer: fill to max,Subaru WRX/Legacy FSM,AMSOIL,high
2013,Subaru,Impreza,WRX Limited (US),,USDM,w/ filter: 4.5 qt / 4.3 L,5W-30 Synthetic (API SM/SN),capacity: 7.4 qt / 7.0 L,Subaru Super Coolant,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.8 qt / 3.6 L,Subaru Extra-S 75W-90,initial fill: 3.5 qt / 3.3 L | total: 9.8 qt / 9.3 L,Subaru ATF-HP,,,,,capacity: 0.9 qt / 0.85 L,Subaru Gear Oil 75W-90,,,,R-134a,,,5MT; front diff shared; washer: fill to max,Subaru WRX/Legacy FSM,AMSOIL,high
2013,Subaru,Impreza,WRX Premium (US),,USDM,w/ filter: 4.5 qt / 4.3 L,5W-30 Synthetic (API SM/SN),capacity: 7.4 qt / 7.0 L,Subaru Super Coolant,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.8 qt / 3.6 L,Subaru Extra-S 75W-90,initial fill: 3.5 qt / 3.3 L | total: 9.8 qt / 9.3 L,Subaru ATF-HP,,,,,capacity: 0.9 qt / 0.85 L,Subaru Gear Oil 75W-90,,,,R-134a,,,5MT; front diff shared; washer: fill to max,Subaru WRX/Legacy FSM,AMSOIL,high
2013,Subaru,Impreza,WRX STI (JDM),,JDM,w/ filter: 4.5 qt / 4.3 L,5W-30 Synthetic,capacity: 7.0 qt / 6.6 L,Subaru Super Coolant,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,Subaru PS Fluid,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 4.1 qt / 3.9 L,75W-90 GL-5,,,,,,,capacity: 1.1 qt / 1.0 L,75W-90 GL-5,,,,R-134a,,,6MT; front diff shared; washer: fill to max,JDM STI FSM,iwsti.com,medium
2013,Subaru,Impreza,WRX STI (US),,USDM,w/ filter: 4.5 qt / 4.3 L,5W-30 Synthetic (API SM/SN),capacity: 7.4 qt / 7.0 L,Subaru Super Coolant,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 4.1 qt / 3.9 L,Subaru Extra-S 75W-90,,,,,,,capacity: 1.1 qt / 1.0 L,Subaru Gear Oil 75W-90,,,,R-134a,,,6MT; front diff shared; washer: fill to max,Subaru STI FSM,AMSOIL,high
2013,Subaru,Impreza,WRX STI A-Line (JDM),,JDM,w/ filter: 4.5 qt / 4.3 L,5W-30 Synthetic (API SM/SN),capacity: 7.4 qt / 7.0 L,Subaru Super Coolant,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 4.1 qt / 3.9 L,Subaru Extra-S 75W-90,,,,,,,capacity: 1.1 qt / 1.0 L,Subaru Gear Oil 75W-90,,,,R-134a,,,6MT; front diff shared; washer: fill to max,Subaru STI FSM,AMSOIL,high
2013,Subaru,Impreza,WRX STI Limited (US),,USDM,w/ filter: 4.5 qt / 4.3 L,5W-30 Synthetic (API SM/SN),capacity: 7.4 qt / 7.0 L,Subaru Super Coolant,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 4.1 qt / 3.9 L,Subaru Extra-S 75W-90,,,,,,,capacity: 1.1 qt / 1.0 L,Subaru Gear Oil 75W-90,,,,R-134a,,,6MT; front diff shared; washer: fill to max,Subaru STI FSM,AMSOIL,high
2013,Subaru,Impreza,WRX STI Spec C (JDM),,JDM,w/ filter: 4.5 qt / 4.3 L,5W-30 Synthetic,capacity: 7.0 qt / 6.6 L,Subaru Super Coolant,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,Subaru PS Fluid,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 4.1 qt / 3.9 L,75W-90 GL-5,,,,,,,capacity: 1.1 qt / 1.0 L,75W-90 GL-5,,,,R-134a,,,6MT; front diff shared; washer: fill to max,JDM STI FSM,iwsti.com,medium
2013,Subaru,Impreza,WRX STI Special Edition (US),,USDM,w/ filter: 4.5 qt / 4.3 L,5W-30 Synthetic (API SM/SN),capacity: 7.4 qt / 7.0 L,Subaru Super Coolant,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 4.1 qt / 3.9 L,Subaru Extra-S 75W-90,,,,,,,capacity: 1.1 qt / 1.0 L,Subaru Gear Oil 75W-90,,,,R-134a,,,6MT; front diff shared; washer: fill to max,Subaru STI FSM,AMSOIL,high
2013,Subaru,Impreza,WRX Special Edition (US),,USDM,w/ filter: 4.5 qt / 4.3 L,5W-30 Synthetic (API SM/SN),capacity: 7.4 qt / 7.0 L,Subaru Super Coolant,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.8 qt / 3.6 L,Subaru Extra-S 75W-90,initial fill: 3.5 qt / 3.3 L | total: 9.8 qt / 9.3 L,Subaru ATF-HP,,,,,capacity: 0.9 qt / 0.85 L,Subaru Gear Oil 75W-90,,,,R-134a,,,5MT; front diff shared; washer: fill to max,Subaru WRX/Legacy FSM,AMSOIL,high
2013,Subaru,Legacy,3.6R Limited (US),,USDM,w/ filter: 6.9 qt / 6.5 L,0W-20 Synthetic (API SN),capacity: 7.4 qt / 7.0 L,Subaru Super Coolant,,DOT 3 | DOT 4,,,capacity: 0.9 qt / 0.85 L,Subaru PS Fluid,,,,,,,drain & fill: 4.0 qt / 3.8 L | total: 13.4 qt / 12.7 L,Subaru CVT Fluid,capacity: 1.4 qt / 1.3 L,Subaru Gear Oil 75W-90,capacity: 0.8 qt / 0.76 L,Subaru Gear Oil 75W-90,,,,R-134a,,,AT only; separate; some have EPS; washer: fill to max,Subaru Outback/Tribeca FSM,AMSOIL,high
2013,Subaru,Legacy,B4 2.5GT (JDM),,JDM,w/ filter: 4.5 qt / 4.3 L,5W-30 Synthetic (API SM/SN),capacity: 7.4 qt / 7.0 L,Subaru Super Coolant,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.8 qt / 3.6 L,Subaru Extra-S 75W-90,initial fill: 3.5 qt / 3.3 L | total: 9.8 qt / 9.3 L,Subaru ATF-HP,,,,,capacity: 0.9 qt / 0.85 L,Subaru Gear Oil 75W-90,,,,R-134a,,,5MT; front diff shared; washer: fill to max,Subaru WRX/Legacy FSM,AMSOIL,high
2013,Subaru,Legacy,B4 2.5GT S Package (JDM),,JDM,w/ filter: 4.5 qt / 4.3 L,5W-30 Synthetic (API SM/SN),capacity: 7.4 qt / 7.0 L,Subaru Super Coolant,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.8 qt / 3.6 L,Subaru Extra-S 75W-90,initial fill: 3.5 qt / 3.3 L | total: 9.8 qt / 9.3 L,Subaru ATF-HP,,,,,capacity: 0.9 qt / 0.85 L,Subaru Gear Oil 75W-90,,,,R-134a,,,5MT; front diff shared; washer: fill to max,Subaru WRX/Legacy FSM,AMSOIL,high
2013,Subaru,Legacy,B4 2.5i EyeSight (JDM),,JDM,w/ filter: 4.4 qt / 4.2 L,0W-20 Synthetic (API SN/SP),capacity: 7.4 qt / 7.0 L,Subaru Super Coolant (blue),,DOT 3 | DOT 4,,,,,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.7 qt / 3.5 L,Subaru Extra-S 75W-90,,,drain & fill: 4.0 qt / 3.8 L | total: 12.0 qt / 11.4 L,Subaru CVT Fluid Lineartronic,,,capacity: 0.8 qt / 0.76 L,Subaru Gear Oil 75W-90,,,,R-134a | R-1234yf,,,front diff shared; EPS (no PS fluid); washer: fill to max,Subaru Forester/Outback FSM,AMSOIL,high
2013,Subaru,Legacy,Touring Wagon 2.5GT (JDM),,JDM,w/ filter: 4.5 qt / 4.3 L,5W-30 Synthetic (API SM/SN),capacity: 7.4 qt / 7.0 L,Subaru Super Coolant,,DOT 3 | DOT 4,,,capacity: 0.8 qt / 0.76 L,DEXRON III ATF,capacity: 0.2 qt / 0.19 L,DOT 4,capacity: 3.8 qt / 3.6 L,Subaru Extra-S 75W-90,initial fill: 3.5 qt / 3.3 L | total: 9.8 qt / 9.3 L,Subaru ATF-HP,,,,,capacity: 0.9 qt / 0.85 L,Subaru Gear Oil 75W-90,,,,R-134a,,,5MT; front diff shared; washer: fill to max,Subaru WRX/Legacy FSM,AMSOIL,high
2013,Subaru,Lucra,Custom G (JDM),,JDM,w/ filter: 2.9 qt / 2.7 L,0W-20 (API SN),capacity: 4.0 qt / 3.8 L,Toyota/Daihatsu coolant,,DOT 3 | DOT 4,,,,,,,,,,,drain & fill: 2.8 qt / 2.6 L,Daihatsu CVT Fluid,,,capacity: 0.6 qt / 0.57 L,75W-90 GL-5,,,,R-134a,,,rear diff: 4WD only; washer: fill to max,Daihatsu FSM,JDM specs,medium
2013,Subaru,Lucra,Custom RS (JDM),,JDM,w/ filter: 2.9 qt / 2.7 L,0W-20 (API SN),capacity: 4.0 qt / 3.8 L,Toyota/Daihatsu coolant,,DOT 3 | DOT 4,,,,,,,,,,,drain & fill: 2.8 qt / 2.6 L,Daihatsu CVT Fluid,,,capacity: 0.6 qt / 0.57 L,75W-90 GL-5,,,,R-134a,,,rear diff: 4WD only; washer: fill to max,Daihatsu FSM,JDM specs,medium
2013,Subaru,Lucra,G (JDM),,JDM,w/ filter: 2.9 qt / 2.7 L,0W-20 (API SN),capacity: 4.0 qt / 3.8 L,Toyota/Daihatsu coolant,,DOT 3 | DOT 4,,,,,,,,,,,drain & fill: 2.8 qt / 2.6 L,Daihatsu CVT Fluid,,,capacity: 0.6 qt / 0.57 L,75W-90 GL-5,,,,R-134a,,,rear diff: 4WD only; washer: fill to max,Daihatsu FSM,JDM specs,medium
2013,Subaru,Lucra,L (JDM),,JDM,w/ filter: 2.9 qt / 2.7 L,0W-20 (API SN),capacity: 4.0 qt / 3.8 L,Toyota/Daihatsu coolant,,DOT 3 | DOT 4,,,,,,,,,,,drain & fill: 2.8 qt / 2.6 L,Daihatsu CVT Fluid,,,capacity: 0.6 qt / 0.57 L,75W-90 GL-5,,,,R-134a,,,rear diff: 4WD only; washer: fill to max,Daihatsu FSM,JDM specs,medium
2013,Subaru,Lucra,L 4WD (JDM),,JDM,w/ filter: 2.9 qt / 2.7 L,0W-20 (API SN),capacity: 4.0 qt / 3.8 L,Toyota/Daihatsu coolant,,DOT 3 | DOT 4,,,,,,,,,,,drain & fill: 2.8 qt / 2.6 L,Daihatsu CVT Fluid,,,capacity: 0.6 qt / 0.57 L,75W-90 GL-5,,,,R-134a,,,rear diff: 4WD only; washer: fill to max,Daihatsu FSM,JDM specs,medium
